Title,Location,Organisation Chain,Bid Opening Place,Work Description,Tender Value in ₹,Product Category,Sub category,Pincode,Tender Reference Number,Tender ID,Tender Type,Tender Category,EMD Payable To,EMD Payable At,Awarded Value,Contract Date :,Contract Value :,
SR to D type Qtr DAO at RW Circle Balasore for the year 2022-23,Balasore,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,"O/o the SE, RW Division, Balasore",SR to D type Qtr DAO at RW Circle Balasore for the year 2022-23,"1,98,889",Civil Works - Buildings,NA,756001,12/SERW/BLS/2022-23,2023_CERWI_85164_13,Open Tender,Works,Nil,Nil,199509,16-Feb-2023,INR 199509.0,
SR to Twin F type Qtr at RW Circle Balasore for the year 2022-23,Balasore,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,"O/o the SE, RW Division, Balasore",SR to Twin F type Qtr at RW Circle Balasore for the year 2022-23,"2,97,507",Civil Works - Buildings,NA,756001,12/SERW/BLS/2022-23,2023_CERWI_85164_12,Open Tender,Works,Nil,Nil,298435,17-Feb-2023,INR 298435.0,
SR to Twin E type Qtr at RW Circle Balasore for the year 2022-23,Balasore,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,"O/o the SE, RW Division, Balasore",SR to Twin E type Qtr at RW Circle Balasore for the year 2022-23,"3,98,631",Civil Works - Buildings,NA,756001,12/SERW/BLS/2022-23,2023_CERWI_85164_11,Open Tender,Works,Nil,Nil,399874,16-Feb-2023,INR 399874.0,
SR to AEO Qtr at Podasul for the year 2022-23,Balasore,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,"O/o the SE, RW Division, Balasore",SR to AEO Qtr at Podasul for the year 2022-23,"1,98,814",Civil Works - Buildings,NA,756001,12/SERW/BLS/2022-23,2023_CERWI_85164_10,Open Tender,Works,Nil,Nil,199434,17-Feb-2023,INR 199434.0,
Repair and Renovation of Revenue Restshed at Oupada for the year 2022-23,Balasore,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,"O/o the SE, RW Division, Balasore",Repair and Renovation of Revenue Restshed at Oupada for the year 2022-23,"14,95,225",Civil Works - Buildings,NA,756001,12/SERW/BLS/2022-23,2023_CERWI_85164_1,Open Tender,Works,Nil,Nil,1499888,27-Feb-2023,INR 1499888.0,
Construction of road from Balabari road to Naringipadar (Kardipadar) under CUVDA in the district of Koraput for the year 2022-23,Sunabeda,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,"Rural Works Division, Sunabeda",Road,"49,94,000",Civil Works - Roads,NA,763001,SERWSBD-ONLINE-05/2022-23,2023_CERWI_85161_6,Open Tender,Works,Nil,Nil,4245323,10-Feb-2023,INR 4245323.0,
S/R to R.W. Section office at Semiliguda for the year 2022-23,Sunabeda,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,"Rural Works Division, Sunabeda",Building,"4,94,000",Civil Works - Buildings,NA,763001,SERWSBD-ONLINE-05/2022-23,2023_CERWI_85161_5,Open Tender,Works,Nil,Nil,419802,10-Feb-2023,INR 419802.0,
S/R to Police Staff Qtr at Lamtaput for the year 2022-23,Sunabeda,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,"Rural Works Division, Sunabeda",Building,"4,94,000",Civil Works - Buildings,NA,763001,SERWSBD-ONLINE-05/2022-23,2023_CERWI_85161_3,Open Tender,Works,Nil,Nil,419862,07-Feb-2023,INR 419862.0,
S/R to Tahasil office building at Lamtaput for the year 2022-23,Sunabeda,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,"Rural Works Division, Sunabeda",Building,"4,94,000",Civil Works - Buildings,NA,763001,SERWSBD-ONLINE-05/2022-23,2023_CERWI_85161_2,Open Tender,Works,Nil,Nil,420074,07-Feb-2023,INR 420074.0,
S/R to RI office building at Lamtaput for the year 2022-23,Sunabeda,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,"Rural Works Division, Sunabeda",Building,"2,97,000",Civil Works - Buildings,NA,763001,SERWSBD-ONLINE-05/2022-23,2023_CERWI_85161_1,Open Tender,Works,Nil,Nil,252391,15-Feb-2023,INR 252391.0,
Special Repair to Police Outpost at Kumarbandh for the year 2022-23,Jharsuguda,CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Jharsuguda,Division Office Jharsuguda,Special Repair to Police Outpost at Kumarbandh for the year 2022-23,"4,19,303",Civil Works - Buildings,NA,768204,Online - SEJSG-10 of 2022-23,2023_CERWI_85002_1,Open Tender,Works,Nil,Nil,356449,23-Feb-2023,INR 356449.0,
Shifting and relocation of existing lines and S S for improvement of major junction at Km. 239.700 on NH 57,Nayagarh,CE-NH||NHCIRCLE-NORTH-BBSR||EENH DIVN BHUBANESWAR,"Office of the EE NH Division,Bhubaneswar",Shifting and relocation of existing lines and SS for improvement of major junction at Km. 239.700 on NH 57 in Nayagarh Municipality area Dist. Nayagarh under Electrical Section Nayagarh.,"30,49,092",Electrical Works,NA,752069,"13 EE NH, BBSR of 2022 23",2023_CENH_85403_2,Open Tender,Works,Nil,Nil,2592032.697,10-Mar-2023,INR 2592032.697,
Providing Entrance Gate with canopy to Office of RO MoRT and H BBSR,Bhubaneswar,CE-NH||NHCIRCLE-NORTH-BBSR||EENH DIVN BHUBANESWAR,"Office of the EE NH Division, Bhubaneswar",Providing Entrance Gate with canopy to Office of RO MoRTandH BBSR linking with NH Division office by laying of CC Paver Block for the year 2022 23.,"16,10,950",Civil Works - Others,NA,751003,11 EE NH BBSR of 2022 23,2023_CENH_84894_1,Open Tender,Works,Nil,Nil,1369468.347,10-Mar-2023,INR 1369468.0,
Improvement to Sanpatrapali MIP in Tangarpali Block of Sundargarh District under RRR of Water Bodies (PMKSY-HKKP) 2022-23.,TANGARPALI BLOCK,"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||SUNDARGARH","O/o the Superintending Engineer, MID Sundargarh",Improvement to Sanpatrapali MIP in Tangarpali Block of Sundargarh District under RRR of Water Bodies (PMKSY-HKKP) 2022-23.,"24,99,985",Civil Works - Others,Impvt. to MIP,770011,SE MID SNG 05/2022-23,2023_CEMIB_85384_9,Open Tender,Works,Nil,Nil,2125237.35,28-Mar-2023,INR 2125237.35,
Construction of cement concrete protective walling from RD 1440m to 1597m of main canal and haunch provision from RD 00m to 1200m of Salepali Branch canal of Brahmanimunda MIP in Sundargarh Block of Sundargarh District under MIPSP 2022-23.,SUNDARGARH BLOCK,"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||SUNDARGARH","O/o the Superintending Engineer, MID Sundargarh",Construction of cement concrete protective walling from RD 1440m to 1597m of main canal and haunch provision from RD 00m to 1200m of Salepali Branch canal of Brahmanimunda MIP in Sundargarh Block of Sundargarh District under MIPSP 2022-23.,"8,47,322",Civil Works - Others,Impvt. to Canal,770001,SE MID SNG 05/2022-23,2023_CEMIB_85384_20,Open Tender,Works,Nil,Nil,720308.07,03-Mar-2023,INR 720308.07,
Improvement to Purkhapali MIP in Kutra Block of Sundargarh District under RRR of Water Bodies (PMKSY-HKKP) 2022-23.,KUTRA BLOCK,"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||SUNDARGARH","O/o the Superintending Engineer, MID Sundargarh",Improvement to Purkhapali MIP in Kutra Block of Sundargarh District under RRR of Water Bodies (PMKSY-HKKP) 2022-23.,"34,20,514",Civil Works - Others,Impvt. to MIP,770018,SE MID SNG 05/2022-23,2023_CEMIB_85384_19,Open Tender,Works,Nil,Nil,2907779.09,16-Mar-2023,INR 2907779.09,
Improvement to Gangajal Gourenmunda MIP in Kutra Block of Sundargarh District under RRR of Water Bodies (PMKSY-HKKP) 2022-23.,KUTRA BLOCK,"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||SUNDARGARH","O/o the Superintending Engineer, MID Sundargarh",Improvement to Gangajal Gourenmunda MIP in Kutra Block of Sundargarh District under RRR of Water Bodies (PMKSY-HKKP) 2022-23.,"30,51,233",Civil Works - Others,Impvt. to MIP,770018,SE MID SNG 05/2022-23,2023_CEMIB_85384_18,Open Tender,Works,Nil,Nil,2593853.37,17-Mar-2023,INR 2593853.37,
Improvement to Jarangaloi MIP in Bargaon Block of Sundargarh District under RRR of Water Bodies (PMKSY-HKKP) 2022-23.,BARGAON BLOCK,"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||SUNDARGARH","O/o the Superintending Engineer, MID Sundargarh",Improvement to Jarangaloi MIP in Bargaon Block of Sundargarh District under RRR of Water Bodies (PMKSY-HKKP) 2022-23.,"32,92,024",Civil Works - Others,Impvt. to MIP,770016,SE MID SNG 05/2022-23,2023_CEMIB_85384_17,Open Tender,Works,Nil,Nil,2798549.81,17-Mar-2023,INR 2798549.81,
Improvement to Barangakachhar MIP in Bargaon Block of Sundargarh District under RRR of Water Bodies (PMKSY-HKKP) 2022-23.,BARGAON BLOCK,"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||SUNDARGARH","O/o the Superintending Engineer, MID Sundargarh",Improvement to Barangakachhar MIP in Bargaon Block of Sundargarh District under RRR of Water Bodies (PMKSY-HKKP) 2022-23.,"29,75,181",Civil Works - Others,Impvt. to MIP,770016,SE MID SNG 05/2022-23,2023_CEMIB_85384_15,Open Tender,Works,Nil,Nil,2529201.52,17-Mar-2023,INR 2529201.52,
Improvement to Bejidihi MIP in Sundargarh Block of Sundargarh District under RRR of Water Bodies (PMKSY-HKKP) 2022-23.,SUNDARGARH BLOCK,"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||SUNDARGARH","O/o the Superintending Engineer, MID Sundargarh",Improvement to Bejidihi MIP in Sundargarh Block of Sundargarh District under RRR of Water Bodies (PMKSY-HKKP) 2022-23.,"24,46,284",Civil Works - Others,Impvt. to MIP,770001,SE MID SNG 05/2022-23,2023_CEMIB_85384_14,Open Tender,Works,Nil,Nil,2079586.03,28-Mar-2023,INR 2079586.03,
Improvement to Kurei MIP in Balisankara Block of Sundargarh District under RRR of Water Bodies (PMKSY-HKKP) 2022-23.,BALISANKARA,"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||SUNDARGARH","O/o the Superintending Engineer, MID Sundargarh",Improvement to Kurei MIP in Balisankara Block of Sundargarh District under RRR of Water Bodies (PMKSY-HKKP) 2022-23.,"29,95,976",Civil Works - Others,Impvt. to MIP,770015,SE MID SNG 05/2022-23,2023_CEMIB_85384_12,Open Tender,Works,Nil,Nil,2546879.13,22-Mar-2023,INR 2546879.13,
Improvement to Tiljore MIP in Subdega Block of Sundargarh District under RRR of Water Bodies (PMKSY-HKKP) 2022-23.,SUBDEGA BLOCK,"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||SUNDARGARH","O/o the Superintending Engineer, MID Sundargarh",Improvement to Tiljore MIP in Subdega Block of Sundargarh District under RRR of Water Bodies (PMKSY-HKKP) 2022-23.,"24,20,139",Civil Works - Others,Impvt. to MIP,770014,SE MID SNG 05/2022-23,2023_CEMIB_85384_11,Open Tender,Works,Nil,Nil,2057360.41,22-Mar-2023,INR 2057360.41,
Improvement to Rungaon MIP in Bargaon Block of Sundargarh District under R R R of water bodies (PMKSY-HKKP) 2022-23.,BARGAON,"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||SUNDARGARH","O/o the Superintending Engineer, MID Sundargarh",Improvement to Rungaon MIP in Bargaon Block of Sundargarh District under R R R of water bodies (PMKSY-HKKP) 2022-23.,"52,30,203",Civil Works - Others,Impvt. to MIP,770016,SE MID SNG 04/2022-23,2023_CEMIB_85361_4,Open Tender,Works,Nil,Nil,"4,446,195.82",17-Mar-2023,"INR 4,446,195.82",
Improvement to Bhangamunda M.I.P.(Res.) in Laikera block of Jharsuguda district under MIPSP for the year 2022-23.,Oo the Executive Engineer MI Division Jharsuguda,"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||EE M.I. Division Jharsuguda",Oo the Executive Engineer MI Division Jharsuguda,Improvement to Bhangamunda M.I.P.(Res.) in Laikera block of Jharsuguda district under MIPSP for the year 2022-23.,"8,48,000",Civil Works - Others,NA,768202,EEMIDJSD/07/2022-23,2023_CEMIB_85356_10,Open Tender,Works,Nil,Nil,"720,305.49",13-Apr-2023,"INR 720,305.49",
"Imp. to Khajuribandha, M.I.P Sindhikhali in Digapahandi block under Critical Grant 2022-23",Digapahandi,"CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GANJAM I","O/O SE, M.I. Division Ganjam-I, Berhampur","Imp. to Khajuribandha, M.I.P Sindhikhali in Digapahandi block under Critical Grant 2022-23 in Ganjam District","31,58,000",Civil Works - Others,NA,761012,Online Tender/10/GMID-I/2022-23,2023_CEMIB_85173_8,Open Tender,Works,Nil,Nil,"2,689,172.35",07-Apr-2023,"INR 3,163,360.02",
Imp. to Bogiweir Project M.I.P Surangi in Patrapur Block under Critical Grant 2022-23,Patrapur,"CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GANJAM I","O/O SE, M.I. Division Ganjam-I, Berhampur",Imp. to Bogiweir Project M.I.P Surangi in Patrapur Block under Critical Grant 2022-23 in Ganjam District,"13,30,000",Civil Works - Others,NA,761004,Online Tender/10/GMID-I/2022-23,2023_CEMIB_85173_5,Open Tender,Works,Nil,Nil,"1,129,861.29",28-Apr-2023,"INR 1,329,092.21",
Imp. to Chidipudighai M.I.P Extension in Patrapur Block under Critical Grant 2022-23,Patrapur,"CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GANJAM I","O/O SE, M.I. Division Ganjam-I, Berhampur",Imp. to Chidipudighai M.I.P Extension in Patrapur Block under Critical Grant 2022-23 in Ganjam District,"12,50,000",Civil Works - Others,NA,761004,Online Tender/10/GMID-I/2022-23,2023_CEMIB_85173_4,Open Tender,Works,Nil,Nil,"1,041,765.48",20-Mar-2023,"INR 1,041,765.48",
Imp. to Kapilaghai M.I.P. at Chariapada in Chikiti Block under Critical Grant 2022-23,Chikiti,"CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GANJAM I","O/O SE, M.I. Division Ganjam-I, Berhampur",Imp. to Kapilaghai M.I.P. at Chariapada in Chikiti Block under Critical Grant 2022-23 in Ganjam District,"22,10,000",Civil Works - Others,NA,761010,Online Tender/10/GMID-I/2022-23,2023_CEMIB_85173_2,Open Tender,Works,Nil,Nil,"1,876,613.76",26-Mar-2023,"INR 2,207,521.19",
"Imp. to Santarabandha, M.I.P Danambatha in Sanakhemundi Block under Critical Grant 2022-23",Sanakhemundi,"CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GANJAM I","O/O SE, M.I. Division Ganjam-I, Berhampur","Imp. to Santarabandha, M.I.P Danambatha in Sanakhemundi Block under Critical Grant 2022-23 in Ganjam District","14,72,000",Civil Works - Others,NA,761013,Online Tender/10/GMID-I/2022-23,2023_CEMIB_85173_13,Open Tender,Works,Nil,Nil,"1,250,897.75",24-Mar-2023,"INR 1,471,471.29",
"Imp. to Taptapaninalla DW, in Sanakhemundi Block under Critical Grant 2022-23",Sanakhemundi,"CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GANJAM I","O/O SE, M.I. Division Ganjam-I, Berhampur","Imp. to Taptapaninalla DW, in Sanakhemundi Block under Critical Grant 2022-23 in Ganjam District","21,09,000",Civil Works - Others,NA,761013,Online Tender/10/GMID-I/2022-23,2023_CEMIB_85173_11,Open Tender,Works,Nil,Nil,"1,793,083.10",28-Apr-2023,"INR 2,109,261.38",
Imp. to Badabandha Gadagobindapur in Digapahandi Block under Critical Grant 2022-23,Digapahandi,"CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GANJAM I","O/O SE, M.I. Division Ganjam-I, Berhampur",Imp. to Badabandha Gadagobindapur in Digapahandi Block under Critical Grant 2022-23 in Ganjam District,"8,31,000",Civil Works - Others,NA,761012,Online Tender/10/GMID-I/2022-23,2023_CEMIB_85173_10,Open Tender,Works,Nil,Nil,"706,206.88",07-Apr-2023,"INR 830,733.89",
Imp. to Bibhutinalla M.I.P in Chikiti Block under Critical Grant 2022-23,Chikiti,"CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GANJAM I","O/O SE, M.I. Division Ganjam-I, Berhampur",Imp. to Bibhutinalla M.I.P in Chikiti Block under Critical Grant 2022-23 in Ganjam District,"15,00,000",Civil Works - Others,NA,761010,Online Tender/10/GMID-I/2022-23,2023_CEMIB_85173_1,Open Tender,Works,Nil,Nil,"1,274,856.21",25-Apr-2023,"INR 1,274,856.21",
Improvement to Karadiha MIP in Karanjia Block of Mayurbhanj District under GCF Grant 2022-23,O/o SE MI DIVISION Jashipur,"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||EE,MI Divn, Jashipur",O/o SE MI DIVISION Jashipur,Improvement to Karadiha MIP in Karanjia Block of Mayurbhanj District under GCF Grant 2022-23,"4,23,381",Civil Works - Canal,NA,757091,08 MID (JSP/2022-23),2023_CEMIB_85169_5,Open Tender,Works,Nil,Nil,"359,917",08-Feb-2023,"INR 423,381.43",
Improvement to Kantasimla MIP in Raruan Block of Mayurbhanj District under GCF Grant 2022-23,O/o SE MI DIVISION JASHIPUR,"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||EE,MI Divn, Jashipur",O/o SE MI DIVISION JASHIPUR,Improvement to Kantasimla MIP in Raruan Block of Mayurbhanj District under GCF Grant 2022-23,"4,23,709",Civil Works - Canal,NA,757091,08 MID (JSP/2022-23),2023_CEMIB_85169_4,Open Tender,Works,Nil,Nil,"360,195",06-Feb-2023,"INR 423,708.77",
Improvement to Kudarbisida MIP in Jashipur Block of Mayurbhanj District under GCF Grant 2022-23,O/o SE MI DIVISION Jashipur,"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||EE,MI Divn, Jashipur",O/o SE MI DIVISION Jashipur,Improvement to Kudarbisida MIP in Jashipur Block of Mayurbhanj District under GCF Grant 2022-23,"4,23,709",Civil Works - Canal,NA,757091,08 MID (JSP/2022-23),2023_CEMIB_85169_3,Open Tender,Works,Nil,Nil,"360,195",08-Feb-2023,"INR 423,709.1",
NID-183-Improvement to Andhara Ichhapur Disty. from RD 00Mtr. to RD 500Mtr. (C.C. Lining).,Nimapara,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Nimapada Irr Division, Nimapada","O.O the S.E., Nimapara Irr Divn. Nimapara",Improvement to Andhara Ichhapur Disty. from RD 00Mtr. to RD 500Mtr. (C.C. Lining).,"31,10,161",Civil Works - Canal,Canal,752106,e-PROCUREMENT NOTICE NO 08 OF 2022-23,2023_CELBB_86068_9,Open Tender,Works,Nil,Nil,"2,643,948",12-Apr-2023,"INR 2,643,948",
"NID-179- Construction of C.C. lining in Bilipada minor, Bagalpur Right Minor.",Nimapara,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Nimapada Irr Division, Nimapada","O.O the S.E., Nimapara Irr Divn. Nimapara","Construction of C.C. lining in Bilipada minor, Bagalpur Right Minor.","18,42,270",Civil Works - Canal,Canal,752106,e-PROCUREMENT NOTICE NO 08 OF 2022-23,2023_CELBB_86068_5,Open Tender,Works,Nil,Nil,"1,566,114",12-Apr-2023,"INR 1,566,114",
NID-177-Construction of C.C. lining to Jamarasuan Distributary from RD 00 to 1.000 km.,Nimapara,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Nimapada Irr Division, Nimapada","O.O the S.E., Nimapara Irr Divn. Nimapara",Construction of C.C. lining to Jamarasuan Distributary from RD 00 to 1.000 km.,"34,66,371",Civil Works - Canal,Canal,752106,e-PROCUREMENT NOTICE NO 08 OF 2022-23,2023_CELBB_86068_3,Open Tender,Works,Nil,Nil,"2,946,762",12-Apr-2023,"INR 2,946,762",
NID-194-Renovation of Inspection Bunglow (IB) At Kakatpur.,Nimapara,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Nimapada Irr Division, Nimapada","O.O the S.E., Nimapara Irr Divn. Nimapara",Renovation of Inspection Bunglow (IB) At Kakatpur.,"18,58,558",Civil Works - Buildings,Building,752106,e-PROCUREMENT NOTICE NO 08 OF 2022-23,2023_CELBB_86068_19,Open Tender,Works,Nil,Nil,"1,579,960",13-Apr-2023,"INR 1,579,960",
NID-192-Improvement to Road on Left Bank of N.B.C. from RD 18.500Km. to 18.680Km.,Nimapara,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Nimapada Irr Division, Nimapada","O.O the S.E., Nimapara Irr Divn. Nimapara",Improvement to Road on Left Bank of N.B.C. from RD 18.500Km. to 18.680Km.,"4,58,306",Civil Works - Canal,Canal,752106,e-PROCUREMENT NOTICE NO 08 OF 2022-23,2023_CELBB_86068_17,Open Tender,Works,Nil,Nil,"389,606",12-Apr-2023,"INR 389,606",
NID-184-Improvement to Alisi Sub-Minor from RD 00Mtr. to RD 320Mtr. (C.C. Lining),Nimapara,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Nimapada Irr Division, Nimapada","O.O the S.E., Nimapara Irr Divn. Nimapara",Improvement to Alisi Sub-Minor from RD 00Mtr. to RD 320Mtr. (C.C. Lining),"14,03,879",Civil Works - Canal,Canal,752106,e-PROCUREMENT NOTICE NO 08 OF 2022-23,2023_CELBB_86068_10,Open Tender,Works,Nil,Nil,"1,193,438",12-Apr-2023,"INR 1,193,438",
Construction of VRB at RD 10.950km on KBC near village Garama,NAGESHPUR,"CE-BM,LMB Basin,BBSR||SE, Eastern Circle,Cuttack||EE, Mahanadi North Division,Jagatpur","O/o the Superintending Engineer, MND,JAGATPUR",Construction of VRB at RD 10.950km on KBC near village Garama,"15,51,085",Civil Works - Others,NA,754021,MND-06 OF 2022-23,2023_CELBB_85686_23,National Competitive Bid,Works,Nil,Nil,"1,318,577",21-Apr-2023,"INR 1,318,577",
Construction of C.C road on left bank of Baharabamphu minor from RD 00m to 1000m of K.B.C (Working RD from 00 to 990M),NAGESHPUR,"CE-BM,LMB Basin,BBSR||SE, Eastern Circle,Cuttack||EE, Mahanadi North Division,Jagatpur","O/o the Superintending Engineer, MND,JAGATPUR",Construction of C.C road on left bank of Baharabamphu minor from RD 00m to 1000m of K.B.C (Working RD from 00 to 990M),"41,17,482",Civil Works - Others,NA,754021,MND-06 OF 2022-23,2023_CELBB_85686_22,National Competitive Bid,Works,Nil,Nil,"3,500,271",26-Apr-2023,"INR 3,500,271",
(9) Improvement to Daya right embankment from R.D. 28.0 k.m. To 31.20 k.m,"Delta, BBSR-12","CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar","S.E, Prachi Division, BBSR",Improvement to Daya right embankment from R.D. 28.0 k.m. To 31.20 k.m,"4,92,996",Civil Works - Others,NA,751012,e-Procurement Notice No.SEPRD-23/2022-23,2023_CELBB_85168_9,Open Tender,Works,Nil,Nil,"419,096",04-Mar-2023,"INR 419,096",
(6) Construction of Head Regulator and guard wall in Tampada Minor at RD 0.00 Km. and RD 0.550 Km,"Delta, BBSR-12","CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar","S.E, Prachi Division, BBSR",Construction of Head Regulator and guard wall in Tampada Minor at RD 0.00 Km. and RD 0.550 Km,"7,13,194",Civil Works - Others,NA,751012,e-Procurement Notice No.SEPRD-23/2022-23,2023_CELBB_85168_6,Open Tender,Works,Nil,Nil,"606,286",04-Mar-2023,"INR 606,286",
(33) Construction of concrete guard wall and VRB on Gelpur Minor and Gunadola Minor,"Delta, BBSR-12","CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar","S.E, Prachi Division, BBSR",Construction of concrete guard wall and VRB on Gelpur Minor and Gunadola Minor,"7,33,878",Civil Works - Others,NA,751012,e-Procurement Notice No.SEPRD-23/2022-23,2023_CELBB_85168_33,Open Tender,Works,Nil,Nil,"623,869",04-Mar-2023,"INR 623,869",
(32) Construction of approach road on both side of VRB at RD 2890m. of Kakatpur Branch Canal,"Delta, BBSR-12","CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar","S.E, Prachi Division, BBSR",Construction of approach road on both side of VRB at RD 2890m. of Kakatpur Branch Canal,"6,54,485",Civil Works - Others,NA,751012,e-Procurement Notice No.SEPRD-23/2022-23,2023_CELBB_85168_32,Open Tender,Works,Nil,Nil,"556,378",04-Mar-2023,"INR 556,378",
(10) Improvement to Daya right embankment from R.D. 24.900 k.m. To 27.200 k.m,"Delta, BBSR-12","CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar","S.E, Prachi Division, BBSR",Improvement to Daya right embankment from R.D. 24.900 k.m. To 27.200 k.m,"4,12,963",Civil Works - Others,NA,751012,e-Procurement Notice No.SEPRD-23/2022-23,2023_CELBB_85168_10,Open Tender,Works,Nil,Nil,"351,060",04-Mar-2023,"INR 351,060",
Procurement of Xerox machine for Bhanjanagar Irrigation Division Office (on buy back auction).,Bhanjanagar,"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur||EE Bhanjanagar Irrigation Divn Bhanjanagar",Bhanjanagar,Procurement of Xerox machine for Bhanjanagar Irrigation Division Office (on buy back auction).,"1,87,124",Miscellaneous Goods,NA,761126,QUOTATION CALL NOTICE,2023_CEBMB_87193_1,Open Tender,Goods,Nil,Nil,"177,124",29-Mar-2023,"INR 177,124",
Supply and Installation of 15 KVA KIRLOSKAR i-Green silent Diesel Generator for Bhanjanagar Irrigation Division Office.,Bhanjanagar,"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur||EE Bhanjanagar Irrigation Divn Bhanjanagar",Bhanjanagar,Supply and Installation of 15 KVA KIRLOSKAR i-Green silent Diesel Generator for Bhanjanagar Irrigation Division Office.,"4,90,100",Miscellaneous Goods,NA,761126,QUOTATION CALL NOTICE,2023_CEBMB_86916_2,Open Tender,Goods,Nil,Nil,"445,000",22-Mar-2023,"INR 445,000",
Improvement to service bank of No-II distributary from RD 00 to 2000 M near village Simakhai.,Aska,"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur||EE Bhanjanagar Irrigation Divn Bhanjanagar",Bhanjanagar,Improvement to service bank of No-II distributary from RD 00 to 2000 M near village Simakhai.,"8,65,696",Civil Works - Others,NA,761110,e-BNID-14/2022-23,2023_CEBMB_86791_6,Open Tender,Works,Nil,Nil,"735,928",06-Apr-2023,"INR 735,928",
Providing RCC lining form RD 00 to 160 M of Nuagaon Distributary under Rushikulya Irrigation System.,Bhanjanagar,"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur||EE Bhanjanagar Irrigation Divn Bhanjanagar","S.E., Bhanjanagar Irrigation Division, Bhanjanagar",Providing RCC lining form RD 00 to 160 M of Nuagaon Distributary under Rushikulya Irrigation System.,"68,56,161",Civil Works - Others,NA,761126,e- BNID-12/2022-23,2023_CEBMB_85406_1,Open Tender,Works,Nil,Nil,"5,828,422",20-Feb-2023,"INR 5,828,422",
"Improvement of Ghat Road including C.D. works at RR colony, Ratanga of Chheligada Irrigation Project.",Mahendragada,"CE-BM,RVN Basin,Berhampur||SE Southern Irr Circle II Paralakhemundi||EE Chheligada Head Works Divn Mahendragada","O/o S.E., Chheligada Head Works Divn., Mahendragad",Improvement to Ghat Road,"22,83,000",Civil Works - Others,NA,761017,SE-CHWD-05/2022-23,2023_CEBMB_85329_1,Open Tender,Works,Nil,Nil,"1,939,036",23-Mar-2023,"INR 1,939,036",
